stage,method,weight_boundary,threshold,sensitivity,specificity,mcc,w12,w23,w34,qwk,macro_f1
stage1,weighted,0.6000000000000001,0.30000000000000004,0.9232283464566929,0.8262411347517731,0.7240800637615148,,,,,
stage1,weighted,0.6000000000000001,0.3500000000000001,0.9035433070866141,0.8971631205673759,0.7433890765152347,,,,,
stage1,weighted,0.6000000000000001,0.40000000000000013,0.8828740157480315,0.9361702127659575,0.7405746269566873,,,,,
stage1,weighted,0.6000000000000001,0.45000000000000007,0.8622047244094488,0.9539007092198581,0.7244445391090396,,,,,
stage1,weighted,0.6000000000000001,0.5000000000000001,0.8326771653543307,0.9609929078014184,0.6910376457713643,,,,,
stage1,weighted,0.6000000000000001,0.5500000000000002,0.8041338582677166,0.9716312056737588,0.6647281657763286,,,,,
stage1,weighted,0.6000000000000001,0.6000000000000002,0.7716535433070866,0.9893617021276596,0.6423429308704615,,,,,
stage1,weighted,0.6000000000000001,0.6500000000000001,0.7421259842519685,0.9964539007092199,0.617441040508549,,,,,
stage1,weighted,0.6000000000000001,0.7000000000000002,0.7116141732283464,1.0,0.5907625092611335,,,,,
stage1,weighted,0.6000000000000001,0.7500000000000002,0.6820866141732284,1.0,0.5638539538897533,,,,,
stage1,weighted,0.6000000000000001,0.8000000000000002,0.6476377952755905,1.0,0.5341960347506401,,,,,
stage1,weighted,0.6000000000000001,0.8500000000000002,0.6141732283464567,1.0,0.5069207243368211,,,,,
stage1,weighted,0.6000000000000001,0.9000000000000002,0.5698818897637795,1.0,0.47277285932437935,,,,,
stage1,weighted,0.65,0.1,0.9960629921259843,0.30851063829787234,0.49191421979528305,,,,,
stage1,weighted,0.65,0.15000000000000002,0.9822834645669292,0.4432624113475177,0.5604782749393916,,,,,
stage1,weighted,0.65,0.20000000000000004,0.9576771653543307,0.6312056737588653,0.6460949078373811,,,,,
stage1,weighted,0.65,0.25000000000000006,0.9458661417322834,0.7411347517730497,0.703827898027125,,,,,
stage1,weighted,0.65,0.30000000000000004,0.9212598425196851,0.8475177304964538,0.7363519244709112,,,,,
stage1,weighted,0.65,0.3500000000000001,0.8946850393700787,0.8971631205673759,0.7293914202051597,,,,,
stage1,weighted,0.65,0.40000000000000013,0.8759842519685039,0.9432624113475178,0.7358324853081287,,,,,
stage1,weighted,0.65,0.45000000000000007,0.8474409448818898,0.9539007092198581,0.7046127243276821,,,,,
stage1,weighted,0.65,0.5000000000000001,0.8179133858267716,0.9645390070921985,0.6755744763238607,,,,,
stage1,weighted,0.65,0.5500000000000002,0.7933070866141733,0.975177304964539,0.6550739315267935,,,,,
stage1,weighted,0.65,0.6000000000000002,0.7637795275590551,0.9929078014184397,0.636790241486911,,,,,
stage1,weighted,0.65,0.6500000000000001,0.7322834645669292,0.9964539007092199,0.6077175022745487,,,,,
stage1,weighted,0.65,0.7000000000000002,0.7017716535433071,0.9964539007092199,0.5787774714518311,,,,,
stage1,weighted,0.65,0.7500000000000002,0.672244094488189,1.0,0.5552013253036906,,,,,
stage1,weighted,0.65,0.8000000000000002,0.6427165354330708,1.0,0.5300958857129602,,,,,
stage1,weighted,0.65,0.8500000000000002,0.609251968503937,1.0,0.5030233411726752,,,,,
stage1,weighted,0.65,0.9000000000000002,0.5669291338582677,1.0,0.47056578156052414,,,,,
stage1,weighted,0.7000000000000001,0.1,0.9960629921259843,0.30851063829787234,0.49191421979528305,,,,,
stage1,weighted,0.7000000000000001,0.15000000000000002,0.9822834645669292,0.4645390070921986,0.5780338426424038,,,,,
stage1,weighted,0.7000000000000001,0.20000000000000004,0.9566929133858267,0.6382978723404256,0.649315093681979,,,,,
stage1,weighted,0.7000000000000001,0.25000000000000006,0.9399606299212598,0.7411347517730497,0.6919917299441571,,,,,
stage1,weighted,0.7000000000000001,0.30000000000000004,0.9104330708661418,0.8652482269503546,0.7310030373918863,,,,,
stage1,weighted,0.7000000000000001,0.3500000000000001,0.8848425196850394,0.9078014184397163,0.7223110661230204,,,,,
stage1,weighted,0.7000000000000001,0.40000000000000013,0.859251968503937,0.9468085106382979,0.7150569386802531,,,,,
stage1,weighted,0.7000000000000001,0.45000000000000007,0.8336614173228346,0.9539007092198581,0.6868627277169754,,,,,
stage1,weighted,0.7000000000000001,0.5000000000000001,0.8070866141732284,0.9680851063829787,0.6654350035447963,,,,,
stage1,weighted,0.7000000000000001,0.5500000000000002,0.7785433070866141,0.9787234042553191,0.641463944652373,,,,,
stage1,weighted,0.7000000000000001,0.6000000000000002,0.7490157480314961,0.9929078014184397,0.6215719454427459,,,,,
stage1,weighted,0.7000000000000001,0.6500000000000001,0.7234251968503937,0.9964539007092199,0.5991339184021063,,,,,
stage1,weighted,0.7000000000000001,0.7000000000000002,0.6938976377952756,0.9964539007092199,0.5715819441498693,,,,,
stage1,weighted,0.7000000000000001,0.7500000000000002,0.6692913385826772,1.0,0.552634404979325,,,,,
stage1,weighted,0.7000000000000001,0.8000000000000002,0.6377952755905512,1.0,0.5260275917251949,,,,,
stage1,weighted,0.7000000000000001,0.8500000000000002,0.609251968503937,1.0,0.5030233411726752,,,,,
stage1,weighted,0.7000000000000001,0.9000000000000002,0.5679133858267716,1.0,0.4713005802007592,,,,,
stage1,weighted,0.75,0.1,0.9950787401574803,0.30851063829787234,0.4878546103998029,,,,,
stage1,weighted,0.75,0.15000000000000002,0.9783464566929134,0.48226950354609927,0.580937512882783,,,,,
stage1,weighted,0.75,0.20000000000000004,0.9557086614173228,0.6453900709219859,0.6525436325144339,,,,,
